"","trial","Environment","Context","meanReward","meanSE","Model"
"1",1,"Smooth","Spatial",37.2665130890875,NA,"Random"
"2",2,"Smooth","Spatial",29.3419308717802,NA,"Random"
"3",3,"Smooth","Spatial",41.7404659580723,NA,"Random"
"4",4,"Smooth","Spatial",48.3879333340355,NA,"Random"
"5",5,"Smooth","Spatial",35.2897568376473,NA,"Random"
"6",6,"Smooth","Spatial",43.6378988506094,NA,"Random"
"7",7,"Smooth","Spatial",41.7404659580723,NA,"Random"
"8",8,"Smooth","Spatial",43.6378988506094,NA,"Random"
"9",9,"Smooth","Spatial",76.3924458621825,NA,"Random"
"10",10,"Smooth","Spatial",76.3924458621825,NA,"Random"
"11",11,"Smooth","Spatial",100,NA,"Random"
"12",12,"Smooth","Spatial",16.9345571096247,NA,"Random"
"13",13,"Smooth","Spatial",72.8691163891663,NA,"Random"
"14",14,"Smooth","Spatial",100,NA,"Random"
"15",15,"Smooth","Spatial",48.4867249983849,NA,"Random"
"16",16,"Smooth","Spatial",1.70792654260841,NA,"Random"
"17",17,"Smooth","Spatial",32.4440988144289,NA,"Random"
"18",18,"Smooth","Spatial",25.5761948324004,NA,"Random"
"19",19,"Smooth","Spatial",25.5884144410096,NA,"Random"
"20",20,"Smooth","Spatial",0,NA,"Random"
"21",1,"Rough","Spatial",11.3388345856887,NA,"Random"
"22",2,"Rough","Spatial",34.4848009074418,NA,"Random"
"23",3,"Rough","Spatial",15.0856699716619,NA,"Random"
"24",4,"Rough","Spatial",31.9755464601582,NA,"Random"
"25",5,"Rough","Spatial",37.4865364021485,NA,"Random"
"26",6,"Rough","Spatial",78.1767135555619,NA,"Random"
"27",7,"Rough","Spatial",83.9843351863075,NA,"Random"
"28",8,"Rough","Spatial",9.52641779049857,NA,"Random"
"29",9,"Rough","Spatial",21.8190820215491,NA,"Random"
"30",10,"Rough","Spatial",38.5526636083501,NA,"Random"
"31",11,"Rough","Spatial",38.0119448541055,NA,"Random"
"32",12,"Rough","Spatial",58.3274551703224,NA,"Random"
"33",13,"Rough","Spatial",23.9394891205125,NA,"Random"
"34",14,"Rough","Spatial",16.0993359796627,NA,"Random"
"35",15,"Rough","Spatial",9.52641779049857,NA,"Random"
"36",16,"Rough","Spatial",93.7132348335839,NA,"Random"
"37",17,"Rough","Spatial",65.1137597088669,NA,"Random"
"38",18,"Rough","Spatial",27.4501528731623,NA,"Random"
"39",19,"Rough","Spatial",11.3388345856887,NA,"Random"
"40",20,"Rough","Spatial",20.5302098294351,NA,"Random"
"41",1,"Smooth","Conceptual",37.2665130890875,NA,"Random"
"42",2,"Smooth","Conceptual",29.3419308717802,NA,"Random"
"43",3,"Smooth","Conceptual",41.7404659580723,NA,"Random"
"44",4,"Smooth","Conceptual",48.3879333340355,NA,"Random"
"45",5,"Smooth","Conceptual",35.2897568376473,NA,"Random"
"46",6,"Smooth","Conceptual",43.6378988506094,NA,"Random"
"47",7,"Smooth","Conceptual",41.7404659580723,NA,"Random"
"48",8,"Smooth","Conceptual",43.6378988506094,NA,"Random"
"49",9,"Smooth","Conceptual",76.3924458621825,NA,"Random"
"50",10,"Smooth","Conceptual",76.3924458621825,NA,"Random"
"51",11,"Smooth","Conceptual",100,NA,"Random"
"52",12,"Smooth","Conceptual",16.9345571096247,NA,"Random"
"53",13,"Smooth","Conceptual",72.8691163891663,NA,"Random"
"54",14,"Smooth","Conceptual",100,NA,"Random"
"55",15,"Smooth","Conceptual",48.4867249983849,NA,"Random"
"56",16,"Smooth","Conceptual",1.70792654260841,NA,"Random"
"57",17,"Smooth","Conceptual",32.4440988144289,NA,"Random"
"58",18,"Smooth","Conceptual",25.5761948324004,NA,"Random"
"59",19,"Smooth","Conceptual",25.5884144410096,NA,"Random"
"60",20,"Smooth","Conceptual",0,NA,"Random"
"61",1,"Rough","Conceptual",11.3388345856887,NA,"Random"
"62",2,"Rough","Conceptual",34.4848009074418,NA,"Random"
"63",3,"Rough","Conceptual",15.0856699716619,NA,"Random"
"64",4,"Rough","Conceptual",31.9755464601582,NA,"Random"
"65",5,"Rough","Conceptual",37.4865364021485,NA,"Random"
"66",6,"Rough","Conceptual",78.1767135555619,NA,"Random"
"67",7,"Rough","Conceptual",83.9843351863075,NA,"Random"
"68",8,"Rough","Conceptual",9.52641779049857,NA,"Random"
"69",9,"Rough","Conceptual",21.8190820215491,NA,"Random"
"70",10,"Rough","Conceptual",38.5526636083501,NA,"Random"
"71",11,"Rough","Conceptual",38.0119448541055,NA,"Random"
"72",12,"Rough","Conceptual",58.3274551703224,NA,"Random"
"73",13,"Rough","Conceptual",23.9394891205125,NA,"Random"
"74",14,"Rough","Conceptual",16.0993359796627,NA,"Random"
"75",15,"Rough","Conceptual",9.52641779049857,NA,"Random"
"76",16,"Rough","Conceptual",93.7132348335839,NA,"Random"
"77",17,"Rough","Conceptual",65.1137597088669,NA,"Random"
"78",18,"Rough","Conceptual",27.4501528731623,NA,"Random"
"79",19,"Rough","Conceptual",11.3388345856887,NA,"Random"
"80",20,"Rough","Conceptual",20.5302098294351,NA,"Random"
